area,status,roomType,utilities,price
22,0,tro,"['tủ quần áo', 'tủ lạnh', 'bếp']",2400
20,1,tro,"['điều hoà', 'tủ quần áo', 'tủ lạnh', 'máy giặt']",2300
28,1,tro,"['wifi', 'nóng lạnh', 'tủ lạnh', 'điều hoà']",2400
17,0,tro,"['điều hoà', 'nóng lạnh', 'tủ lạnh', 'bếp', 'tủ quần áo', 'máy giặt']",2200
19,0,tro,"['bếp', 'điều hoà', 'wifi', 'tủ quần áo', 'nóng lạnh', 'máy giặt', 'tủ lạnh']",2100
15,1,tro,['máy giặt'],2000
16,0,tro,"['điều hoà', 'máy giặt', 'tủ lạnh', 'wifi', 'bếp', 'nóng lạnh']",2300
36,1,tro,"['tủ quần áo', 'bếp']",1700
15,0,tro,"['wifi', 'bếp']",2200
11,1,tro,"['tủ lạnh', 'tủ quần áo', 'bếp', 'máy giặt', 'điều hoà', 'wifi', 'nóng lạnh']",1900
29,1,tro,"['máy giặt', 'tủ lạnh', 'wifi']",1400
31,0,tro,"['bếp', 'tủ quần áo', 'tủ lạnh', 'wifi', 'điều hoà', 'máy giặt']",1300
18,1,tro,"['nóng lạnh', 'tủ lạnh', 'tủ quần áo']",2000
25,0,tro,"['điều hoà', 'tủ quần áo', 'nóng lạnh']",2700
12,1,tro,"['wifi', 'máy giặt', 'bếp', 'tủ lạnh', 'nóng lạnh', 'tủ quần áo', 'điều hoà']",1600
12,0,tro,['bếp'],1800
31,0,tro,"['tủ lạnh', 'máy giặt', 'nóng lạnh', 'wifi', 'tủ quần áo', 'điều hoà', 'bếp']",1500
34,1,tro,"['điều hoà', 'wifi', 'tủ lạnh', 'máy giặt', 'nóng lạnh']",2300
14,1,tro,"['tủ quần áo', 'wifi', 'máy giặt']",2600
38,0,tro,"['điều hoà', 'wifi', 'tủ lạnh']",2500
14,1,tro,"['bếp', 'điều hoà']",2500
39,1,tro,"['tủ quần áo', 'nóng lạnh', 'điều hoà', 'tủ lạnh', 'máy giặt']",1800
11,0,tro,"['bếp', 'nóng lạnh']",2000
36,0,tro,"['wifi', 'tủ lạnh']",2900
12,0,tro,"['tủ quần áo', 'điều hoà', 'nóng lạnh', 'máy giặt', 'wifi']",1200
38,1,tro,"['nóng lạnh', 'bếp']",1300
32,0,tro,['máy giặt'],2200
39,0,tro,"['máy giặt', 'bếp']",1400
36,1,tro,"['điều hoà', 'nóng lạnh', 'tủ quần áo', 'máy giặt', 'bếp', 'wifi', 'tủ lạnh']",1600
27,1,tro,"['máy giặt', 'wifi']",2800
31,1,tro,"['nóng lạnh', 'tủ quần áo', 'máy giặt', 'điều hoà']",1900
22,1,tro,"['tủ lạnh', 'điều hoà', 'wifi', 'máy giặt', 'tủ quần áo', 'nóng lạnh', 'bếp']",2800
36,0,tro,"['điều hoà', 'máy giặt', 'bếp', 'nóng lạnh', 'wifi', 'tủ quần áo']",1000
32,1,tro,"['bếp', 'điều hoà', 'wifi', 'tủ quần áo', 'máy giặt', 'nóng lạnh']",2100
26,1,tro,"['nóng lạnh', 'tủ quần áo', 'máy giặt', 'tủ lạnh', 'bếp']",1600
18,0,tro,"['wifi', 'tủ lạnh', 'bếp', 'máy giặt', 'điều hoà', 'tủ quần áo']",2100
26,0,tro,"['tủ lạnh', 'wifi', 'điều hoà']",1300
35,0,tro,"['bếp', 'nóng lạnh', 'điều hoà', 'tủ lạnh', 'máy giặt', 'wifi', 'tủ quần áo']",1500
17,1,tro,"['máy giặt', 'tủ lạnh', 'wifi', 'tủ quần áo', 'điều hoà', 'bếp', 'nóng lạnh']",1200
37,0,tro,"['bếp', 'tủ quần áo', 'tủ lạnh', 'điều hoà', 'máy giặt']",1900
16,0,tro,['bếp'],1000
38,0,tro,"['tủ lạnh', 'bếp', 'máy giặt', 'nóng lạnh', 'điều hoà', 'tủ quần áo']",1000
31,0,tro,"['nóng lạnh', 'tủ quần áo', 'máy giặt', 'điều hoà', 'wifi', 'tủ lạnh', 'bếp']",2400
28,1,tro,"['tủ quần áo', 'wifi', 'điều hoà', 'bếp', 'tủ lạnh', 'nóng lạnh', 'máy giặt']",1100
36,1,tro,"['bếp', 'tủ quần áo']",2900
40,0,tro,"['nóng lạnh', 'máy giặt', 'wifi', 'tủ lạnh']",2400
23,0,tro,"['tủ quần áo', 'wifi', 'bếp']",2300
28,0,tro,['nóng lạnh'],1000
18,0,tro,"['điều hoà', 'tủ lạnh', 'nóng lạnh', 'wifi', 'máy giặt', 'tủ quần áo']",1900
24,0,tro,"['tủ lạnh', 'bếp', 'máy giặt']",1800
25,1,tro,['nóng lạnh'],1300
31,1,tro,['wifi'],2100
30,1,tro,"['wifi', 'nóng lạnh', 'tủ quần áo', 'điều hoà', 'bếp', 'máy giặt']",1100
32,0,tro,"['nóng lạnh', 'tủ lạnh', 'máy giặt', 'wifi']",2000
39,1,tro,"['điều hoà', 'tủ lạnh', 'wifi', 'bếp', 'tủ quần áo', 'nóng lạnh', 'máy giặt']",1500
35,1,tro,"['điều hoà', 'nóng lạnh', 'tủ lạnh']",2600
21,1,tro,"['máy giặt', 'wifi', 'điều hoà']",1300
12,0,tro,"['điều hoà', 'nóng lạnh']",1600
20,0,tro,"['máy giặt', 'tủ quần áo', 'wifi', 'điều hoà', 'bếp', 'nóng lạnh', 'tủ lạnh']",1700
29,1,tro,"['máy giặt', 'bếp', 'điều hoà', 'wifi']",1400
13,1,tro,"['wifi', 'máy giặt', 'nóng lạnh']",1400
25,1,tro,"['wifi', 'nóng lạnh', 'tủ lạnh', 'điều hoà', 'tủ quần áo', 'máy giặt']",1800
28,0,tro,"['nóng lạnh', 'tủ quần áo', 'bếp']",1600
30,1,tro,"['máy giặt', 'tủ lạnh', 'bếp', 'wifi', 'nóng lạnh', 'điều hoà', 'tủ quần áo']",2400
20,0,tro,"['bếp', 'wifi', 'tủ lạnh', 'nóng lạnh', 'tủ quần áo']",2200
37,1,tro,"['tủ lạnh', 'điều hoà']",1900
16,0,tro,"['bếp', 'máy giặt', 'nóng lạnh', 'điều hoà', 'tủ quần áo', 'tủ lạnh']",1000
17,0,tro,"['wifi', 'máy giặt']",1800
10,1,tro,['điều hoà'],2000
33,0,tro,"['máy giặt', 'tủ quần áo', 'bếp', 'wifi', 'nóng lạnh', 'tủ lạnh', 'điều hoà']",2700
18,1,tro,"['tủ quần áo', 'bếp', 'tủ lạnh', 'wifi', 'điều hoà', 'nóng lạnh']",1100
13,0,tro,"['tủ lạnh', 'tủ quần áo', 'máy giặt', 'wifi', 'nóng lạnh']",1400
32,0,tro,"['máy giặt', 'tủ lạnh', 'tủ quần áo']",1100
17,1,tro,"['điều hoà', 'tủ quần áo', 'máy giặt', 'wifi', 'nóng lạnh']",2000
21,1,tro,"['wifi', 'điều hoà']",2100
35,0,tro,['máy giặt'],1000
15,0,tro,['máy giặt'],1800
20,0,tro,"['bếp', 'tủ lạnh', 'máy giặt', 'wifi', 'điều hoà']",2100
23,0,tro,"['tủ quần áo', 'tủ lạnh', 'máy giặt']",2800
36,1,tro,"['máy giặt', 'nóng lạnh']",1600
11,0,tro,"['tủ lạnh', 'điều hoà', 'tủ quần áo', 'wifi', 'máy giặt', 'nóng lạnh', 'bếp']",1000
13,0,tro,"['tủ lạnh', 'tủ quần áo', 'điều hoà', 'nóng lạnh', 'máy giặt']",1600
35,1,tro,"['điều hoà', 'tủ lạnh', 'nóng lạnh', 'wifi', 'bếp', 'tủ quần áo']",1300
14,1,tro,"['tủ quần áo', 'điều hoà', 'tủ lạnh', 'máy giặt', 'bếp']",2700
37,1,tro,['bếp'],1300
32,0,tro,['điều hoà'],1900
17,1,tro,"['nóng lạnh', 'bếp', 'máy giặt', 'điều hoà']",2800
11,0,tro,"['bếp', 'wifi', 'tủ lạnh']",2500
36,1,tro,"['bếp', 'điều hoà']",2200
28,1,tro,['điều hoà'],1400
30,0,tro,"['bếp', 'điều hoà', 'wifi', 'nóng lạnh', 'tủ lạnh']",1500
39,1,tro,"['tủ quần áo', 'wifi', 'nóng lạnh', 'bếp', 'tủ lạnh', 'điều hoà', 'máy giặt']",1300
39,1,tro,"['tủ quần áo', 'nóng lạnh', 'máy giặt']",1600
27,1,tro,"['điều hoà', 'bếp', 'wifi']",1100
29,0,tro,"['tủ quần áo', 'nóng lạnh', 'bếp', 'điều hoà', 'wifi', 'tủ lạnh']",1600
31,1,tro,"['máy giặt', 'tủ quần áo', 'nóng lạnh']",1000
12,1,tro,"['tủ lạnh', 'tủ quần áo', 'wifi', 'điều hoà', 'nóng lạnh', 'bếp']",1000
10,1,tro,['wifi'],2800
13,1,tro,"['điều hoà', 'máy giặt', 'wifi', 'nóng lạnh', 'tủ lạnh', 'bếp']",1500
30,1,tro,"['bếp', 'điều hoà', 'nóng lạnh', 'tủ quần áo', 'tủ lạnh']",1600
16,1,tro,"['máy giặt', 'tủ quần áo', 'tủ lạnh', 'wifi', 'bếp']",2400
29,0,tro,"['nóng lạnh', 'bếp', 'tủ quần áo', 'máy giặt']",2300
36,0,tro,"['tủ quần áo', 'tủ lạnh', 'điều hoà', 'wifi', 'bếp', 'nóng lạnh']",1400
28,1,tro,"['tủ lạnh', 'tủ quần áo']",1200
13,0,tro,"['tủ quần áo', 'điều hoà', 'máy giặt', 'tủ lạnh']",1200
22,0,tro,['điều hoà'],2100
12,0,tro,"['tủ quần áo', 'điều hoà']",2400
21,1,tro,"['tủ quần áo', 'wifi', 'điều hoà']",1200
36,1,tro,['máy giặt'],2000
13,1,tro,"['bếp', 'tủ quần áo', 'nóng lạnh']",1200
11,1,tro,"['nóng lạnh', 'máy giặt']",2200
29,1,tro,"['máy giặt', 'tủ quần áo', 'điều hoà']",1000
10,0,tro,"['tủ quần áo', 'nóng lạnh', 'tủ lạnh', 'bếp']",2900
16,1,tro,"['wifi', 'tủ lạnh', 'bếp', 'nóng lạnh', 'điều hoà', 'máy giặt', 'tủ quần áo']",2700
40,1,tro,"['tủ lạnh', 'wifi', 'bếp', 'máy giặt', 'điều hoà', 'tủ quần áo']",2000
15,0,tro,"['bếp', 'tủ lạnh', 'wifi']",2800
32,0,tro,"['máy giặt', 'wifi', 'bếp', 'tủ lạnh', 'nóng lạnh']",2000
13,1,tro,"['điều hoà', 'wifi', 'tủ quần áo', 'tủ lạnh', 'máy giặt', 'nóng lạnh', 'bếp']",2400
25,1,tro,"['tủ lạnh', 'tủ quần áo', 'wifi']",2400
16,0,tro,"['máy giặt', 'nóng lạnh']",1200
33,0,tro,"['nóng lạnh', 'wifi', 'tủ quần áo', 'tủ lạnh', 'điều hoà']",1500
35,0,tro,"['wifi', 'tủ quần áo']",1100
11,0,tro,"['bếp', 'wifi']",2700
39,0,tro,"['wifi', 'bếp', 'máy giặt', 'nóng lạnh']",1800
31,1,tro,"['wifi', 'tủ quần áo', 'tủ lạnh', 'máy giặt', 'điều hoà', 'bếp', 'nóng lạnh']",2000
10,1,tro,"['nóng lạnh', 'máy giặt', 'wifi', 'điều hoà', 'bếp', 'tủ quần áo', 'tủ lạnh']",1800
27,0,tro,['nóng lạnh'],2000
23,0,tro,['tủ lạnh'],1900
29,1,tro,"['tủ lạnh', 'bếp', 'wifi', 'nóng lạnh']",2700
13,1,tro,['nóng lạnh'],2800
36,1,tro,"['bếp', 'tủ lạnh', 'máy giặt', 'nóng lạnh', 'điều hoà']",2500
18,1,tro,['wifi'],1500
12,0,tro,"['tủ quần áo', 'bếp', 'tủ lạnh', 'điều hoà', 'máy giặt', 'nóng lạnh']",2300
17,1,tro,"['nóng lạnh', 'điều hoà', 'tủ lạnh', 'máy giặt', 'wifi']",2100
12,1,tro,"['bếp', 'máy giặt', 'tủ quần áo', 'điều hoà', 'nóng lạnh', 'tủ lạnh']",1300
30,1,tro,"['máy giặt', 'điều hoà', 'nóng lạnh', 'tủ lạnh', 'bếp', 'wifi']",2900
19,1,tro,"['bếp', 'điều hoà', 'tủ lạnh', 'tủ quần áo']",1400
21,0,tro,"['wifi', 'máy giặt']",2000
23,0,tro,['tủ lạnh'],1600
15,0,tro,"['máy giặt', 'tủ lạnh', 'điều hoà']",2700
11,1,tro,"['bếp', 'tủ lạnh', 'nóng lạnh', 'tủ quần áo']",1500
26,0,tro,"['tủ quần áo', 'điều hoà', 'nóng lạnh', 'wifi', 'bếp']",2200
24,0,tro,"['bếp', 'máy giặt', 'tủ quần áo', 'điều hoà']",2600
11,0,tro,"['wifi', 'tủ lạnh', 'máy giặt', 'nóng lạnh', 'tủ quần áo']",1600
29,0,tro,"['wifi', 'tủ quần áo']",1100
13,1,tro,['nóng lạnh'],1100
32,0,tro,"['máy giặt', 'tủ lạnh', 'wifi']",1400
22,1,tro,"['wifi', 'điều hoà']",1100
16,1,tro,"['máy giặt', 'nóng lạnh', 'bếp', 'tủ lạnh', 'tủ quần áo', 'điều hoà']",1100
18,1,tro,"['tủ quần áo', 'nóng lạnh']",2200
21,1,tro,['tủ lạnh'],2500
38,0,tro,"['máy giặt', 'wifi', 'bếp', 'tủ quần áo', 'điều hoà']",1100
33,1,tro,"['điều hoà', 'tủ quần áo', 'nóng lạnh', 'máy giặt']",2800
25,1,tro,"['máy giặt', 'bếp']",1700
36,0,tro,"['tủ lạnh', 'máy giặt', 'wifi']",1600
38,1,tro,"['điều hoà', 'nóng lạnh', 'bếp', 'tủ quần áo', 'máy giặt', 'wifi', 'tủ lạnh']",2300
39,0,tro,"['máy giặt', 'nóng lạnh']",2000
28,0,tro,"['nóng lạnh', 'bếp', 'tủ quần áo', 'wifi', 'điều hoà']",1700
15,0,tro,"['wifi', 'bếp', 'tủ quần áo', 'điều hoà', 'nóng lạnh']",2600
32,1,tro,"['máy giặt', 'tủ quần áo', 'tủ lạnh', 'điều hoà', 'nóng lạnh', 'bếp', 'wifi']",1500
31,1,tro,"['máy giặt', 'điều hoà', 'tủ lạnh']",2000
16,1,tro,"['điều hoà', 'bếp']",2500
40,0,tro,"['tủ quần áo', 'nóng lạnh', 'bếp', 'máy giặt', 'điều hoà', 'wifi']",2600
34,1,tro,"['máy giặt', 'tủ lạnh', 'wifi']",1100
11,1,tro,"['nóng lạnh', 'tủ quần áo', 'điều hoà']",2200
35,0,tro,"['wifi', 'tủ quần áo']",2800
31,1,tro,"['nóng lạnh', 'tủ lạnh', 'tủ quần áo']",1300
15,0,tro,"['điều hoà', 'tủ lạnh', 'tủ quần áo', 'wifi', 'bếp', 'máy giặt']",1700
37,0,tro,"['điều hoà', 'nóng lạnh', 'tủ quần áo']",1200
15,1,tro,['tủ quần áo'],1800
20,1,tro,"['tủ quần áo', 'tủ lạnh', 'máy giặt']",2900
26,0,tro,"['bếp', 'tủ quần áo']",1300
18,0,tro,"['điều hoà', 'tủ quần áo', 'tủ lạnh', 'wifi']",2800
13,1,tro,"['tủ quần áo', 'tủ lạnh', 'bếp', 'điều hoà', 'wifi', 'máy giặt']",1100
29,0,tro,"['nóng lạnh', 'wifi', 'máy giặt', 'điều hoà', 'tủ quần áo']",1000
39,1,tro,"['tủ lạnh', 'điều hoà', 'máy giặt', 'tủ quần áo', 'wifi']",2300
24,1,tro,"['tủ quần áo', 'máy giặt', 'bếp', 'wifi', 'tủ lạnh', 'nóng lạnh', 'điều hoà']",2200
31,0,tro,"['nóng lạnh', 'bếp', 'wifi']",1100
15,1,tro,['điều hoà'],1000
10,0,tro,"['tủ quần áo', 'máy giặt', 'nóng lạnh', 'wifi', 'bếp']",2900
25,0,tro,['tủ lạnh'],2800
31,0,tro,"['tủ quần áo', 'điều hoà', 'nóng lạnh', 'máy giặt', 'wifi', 'bếp']",2100
23,0,tro,"['máy giặt', 'tủ lạnh', 'tủ quần áo', 'điều hoà', 'bếp', 'wifi', 'nóng lạnh']",2300
38,1,tro,"['tủ quần áo', 'điều hoà', 'bếp', 'máy giặt', 'tủ lạnh', 'wifi', 'nóng lạnh']",2600
28,0,tro,"['tủ quần áo', 'bếp', 'nóng lạnh']",1700
37,1,tro,"['wifi', 'điều hoà', 'nóng lạnh', 'bếp', 'tủ lạnh', 'máy giặt']",1000
26,1,tro,"['tủ quần áo', 'máy giặt', 'bếp', 'điều hoà']",1300
39,0,tro,['điều hoà'],1600
19,1,tro,['điều hoà'],1100
30,0,tro,"['nóng lạnh', 'điều hoà']",1000
21,0,tro,"['máy giặt', 'điều hoà', 'nóng lạnh']",1900
22,1,tro,"['máy giặt', 'tủ quần áo', 'điều hoà', 'wifi', 'bếp', 'nóng lạnh', 'tủ lạnh']",2500
36,1,tro,"['máy giặt', 'wifi', 'nóng lạnh', 'tủ quần áo', 'bếp', 'tủ lạnh', 'điều hoà']",2000
